,issue_id,project_full_name,created_at,html_url,api_url
97,633703607,rubygems/rubygems,2020-06-07T19:46:04Z,https://github.com/rubygems/rubygems/issues/3695,https://api.github.com/repos/rubygems/rubygems/issues/3695
98,398264957,magit/magit,2019-01-11T12:15:30Z,https://github.com/magit/magit/issues/3709,https://api.github.com/repos/magit/magit/issues/3709
99,1104666990,ipython/ipython,2022-01-15T10:18:18Z,https://github.com/ipython/ipython/issues/13463,https://api.github.com/repos/ipython/ipython/issues/13463
100,774727384,ipython/ipython,2020-12-25T12:54:33Z,https://github.com/ipython/ipython/issues/12740,https://api.github.com/repos/ipython/ipython/issues/12740
101,654775761,ipython/ipython,2020-07-10T13:17:17Z,https://github.com/ipython/ipython/issues/12431,https://api.github.com/repos/ipython/ipython/issues/12431
102,1418577350,doctrine/dbal,2022-10-21T16:21:12Z,https://github.com/doctrine/dbal/issues/5784,https://api.github.com/repos/doctrine/dbal/issues/5784
103,1345626221,doctrine/dbal,2022-08-21T23:29:55Z,https://github.com/doctrine/dbal/issues/5609,https://api.github.com/repos/doctrine/dbal/issues/5609
104,723058396,doctrine/dbal,2020-10-16T09:26:02Z,https://github.com/doctrine/dbal/pull/4349,https://api.github.com/repos/doctrine/dbal/pull/4349
105,530975624,doctrine/dbal,2019-12-02T08:42:40Z,https://github.com/doctrine/dbal/issues/3766,https://api.github.com/repos/doctrine/dbal/issues/3766
106,12894489,doctrine/mongodb-odm,2013-04-07T12:07:10Z,https://github.com/doctrine/mongodb-odm/issues/554,https://api.github.com/repos/doctrine/mongodb-odm/issues/554
107,620694982,bigbluebutton/bigbluebutton,2020-05-19T05:44:00Z,https://github.com/bigbluebutton/bigbluebutton/issues/9600,https://api.github.com/repos/bigbluebutton/bigbluebutton/issues/9600
108,1072125460,libretro/RetroArch,2021-12-06T13:02:30Z,https://github.com/libretro/RetroArch/issues/13331,https://api.github.com/repos/libretro/RetroArch/issues/13331
109,997299420,libretro/RetroArch,2021-09-15T16:49:31Z,https://github.com/libretro/RetroArch/issues/12995,https://api.github.com/repos/libretro/RetroArch/issues/12995
110,906427489,libretro/RetroArch,2021-05-29T09:22:58Z,https://github.com/libretro/RetroArch/issues/12452,https://api.github.com/repos/libretro/RetroArch/issues/12452
111,643360992,libretro/RetroArch,2020-06-22T21:06:38Z,https://github.com/libretro/RetroArch/issues/10898,https://api.github.com/repos/libretro/RetroArch/issues/10898
112,627087857,libretro/RetroArch,2020-05-29T08:16:02Z,https://github.com/libretro/RetroArch/issues/10731,https://api.github.com/repos/libretro/RetroArch/issues/10731
113,565358712,libretro/RetroArch,2020-02-14T14:25:27Z,https://github.com/libretro/RetroArch/pull/10117,https://api.github.com/repos/libretro/RetroArch/pull/10117
114,477798655,libretro/RetroArch,2019-08-07T09:02:42Z,https://github.com/libretro/RetroArch/issues/9260,https://api.github.com/repos/libretro/RetroArch/issues/9260
115,457082435,libretro/RetroArch,2019-06-17T18:19:21Z,https://github.com/libretro/RetroArch/issues/8980,https://api.github.com/repos/libretro/RetroArch/issues/8980
116,435537996,libretro/RetroArch,2019-04-21T19:05:55Z,https://github.com/libretro/RetroArch/issues/8619,https://api.github.com/repos/libretro/RetroArch/issues/8619
117,430055555,libretro/RetroArch,2019-04-06T17:14:16Z,https://github.com/libretro/RetroArch/issues/8551,https://api.github.com/repos/libretro/RetroArch/issues/8551
118,285132250,libretro/RetroArch,2017-12-29T18:00:37Z,https://github.com/libretro/RetroArch/pull/5989,https://api.github.com/repos/libretro/RetroArch/pull/5989
119,1227174892,Python-Markdown/markdown,2022-05-05T21:04:50Z,https://github.com/Python-Markdown/markdown/pull/1252,https://api.github.com/repos/Python-Markdown/markdown/pull/1252
120,1011467346,Python-Markdown/markdown,2021-09-29T21:36:10Z,https://github.com/Python-Markdown/markdown/issues/1182,https://api.github.com/repos/Python-Markdown/markdown/issues/1182
121,978528716,Python-Markdown/markdown,2021-08-24T22:17:41Z,https://github.com/Python-Markdown/markdown/pull/1179,https://api.github.com/repos/Python-Markdown/markdown/pull/1179
122,1352488799,fabricjs/fabric.js,2022-08-26T16:36:42Z,https://github.com/fabricjs/fabric.js/issues/8195,https://api.github.com/repos/fabricjs/fabric.js/issues/8195
123,1458781974,rust-lang/rust,2022-11-22T00:12:17Z,https://github.com/rust-lang/rust/issues/104699,https://api.github.com/repos/rust-lang/rust/issues/104699
124,904754673,rust-lang/rust,2021-05-28T05:45:46Z,https://github.com/rust-lang/rust/issues/85773,https://api.github.com/repos/rust-lang/rust/issues/85773
