,issue_id,project_full_name,created_at,html_url,api_url
0,352750519,,2018-08-21T23:48:12Z,https://github.com/rails/rails/issues/33677,https://api.github.com/repos/rails/rails/issues/33677
1,503451343,,2019-10-07T13:25:51Z,https://github.com/ruby-i18n/i18n/pull/492,https://api.github.com/repos/ruby-i18n/i18n/pull/492
2,305814776,,2018-03-16T06:22:07Z,https://github.com/sparklemotion/nokogiri/issues/1736,https://api.github.com/repos/sparklemotion/nokogiri/issues/1736
3,286791320,,2018-01-08T15:54:00Z,https://github.com/sparklemotion/nokogiri/issues/1709,https://api.github.com/repos/sparklemotion/nokogiri/issues/1709
4,732267627,,2020-10-29T12:22:22Z,https://github.com/FreeRADIUS/freeradius-server/pull/3710,https://api.github.com/repos/FreeRADIUS/freeradius-server/pull/3710
5,569316203,,2020-02-22T10:38:44Z,https://github.com/jekyll/jekyll/issues/8019,https://api.github.com/repos/jekyll/jekyll/issues/8019
6,393681341,,2018-12-22T15:23:14Z,https://github.com/jekyll/jekyll/issues/7432,https://api.github.com/repos/jekyll/jekyll/issues/7432
7,316610337,,2018-04-22T20:25:31Z,https://github.com/jekyll/jekyll/issues/6948,https://api.github.com/repos/jekyll/jekyll/issues/6948
8,304422453,,2018-03-12T15:34:02Z,https://github.com/jekyll/jekyll/issues/6844,https://api.github.com/repos/jekyll/jekyll/issues/6844
9,340595516,,2018-07-12T11:19:18Z,https://github.com/mojolicious/mojo/issues/1238,https://api.github.com/repos/mojolicious/mojo/issues/1238
10,340189202,,2018-07-11T10:47:31Z,https://github.com/mojolicious/mojo/issues/1236,https://api.github.com/repos/mojolicious/mojo/issues/1236
11,333693227,,2018-06-19T14:18:37Z,https://github.com/jasmine/jasmine/issues/1570,https://api.github.com/repos/jasmine/jasmine/issues/1570
12,249811390,,2017-08-12T13:11:55Z,https://github.com/gitextensions/gitextensions/pull/3898,https://api.github.com/repos/gitextensions/gitextensions/pull/3898
