repo,login,year,url,title,reason,comment_count,num_issues,num_stars
yuzu-emu/yuzu,bunnei,"""2020-05-11T07:03:21Z""","""https://github.com/yuzu-emu/yuzu/issues/3918""","""Animal Crossing: New Horizons Text not displaying correctly bug""","""too heated""",40,2257,4804
LuaJIT/LuaJIT,MikePall,"""2021-04-12T09:22:45Z""","""https://github.com/LuaJIT/LuaJIT/issues/685""","""LUAJIT2.1 Memory More than 1g crash""","""too heated""",4,217,630
MichalLytek/typegraphql-prisma,MichalLytek,"""2021-04-01T14:07:17Z""","""https://github.com/MichalLytek/typegraphql-prisma/issues/92""","""Prisma 2.20 -- \""path\"" argument must be of type string""","""too heated""",5,148,360
EssentialsX/Essentials,JRoy,"""2020-09-28T12:05:01Z""","""https://github.com/EssentialsX/Essentials/issues/3690""","""worth/sell blocks does entire inventory instead of just blocks""","""too heated""",9,544,461
Szymon-Jureczko/konwerter-ip,Szymon-Jureczko,"""2021-04-23T07:48:14Z""","""https://github.com/Szymon-Jureczko/konwerter-ip/issues/1""","""kod jest kradziony""","""too heated""",5,4,
matrix-org/synapse,clokep,"""2019-10-17T14:59:20Z""","""https://github.com/matrix-org/synapse/issues/6211""","""Synapse uses TLS1.0 for smtp which is rejected by some mail servers""","""too heated""",26,1752,1927
Repl-it-Coders/Repl.it-2020,StringentDev,"""2021-06-29T18:24:14Z""","""https://github.com/Repl-it-Coders/Repl.it-2020/issues/16""","""CSS styling""","""too heated""",78,11,10
iNavFlight/inav,digitalentity,"""2021-03-03T19:55:59Z""","""https://github.com/iNavFlight/inav/issues/6663""","""matek F722 mini se,crazy baro in al inav version,too in 2.6.1 for micro quad nav modes""","""too heated""",28,770,422
MichiganCOG/A2CL-PT,kylemin,"""2020-10-06T23:28:00Z""","""https://github.com/MichiganCOG/A2CL-PT/issues/4""","""Sharing model weights for Activity Net""","""too heated""",9,5,8
Wechat-Group/WxJava,binarywang,"""2021-04-06T07:54:23Z""","""https://github.com/Wechat-Group/WxJava/issues/2069""","""微信小程序更新wx.getUserProfile，无法获取到小程序用户信息""","""too heated""",12,627,2743
violentmonkey/violentmonkey,tophf,"""2021-03-14T06:54:28Z""","""https://github.com/violentmonkey/violentmonkey/issues/1226""","""Provide an API to use chrome.tabs.insertCSS""","""too heated""",7,274,901
CaffeineMC/sodium-fabric,jellysquid3,"""2021-07-18T10:14:20Z""","""https://github.com/CaffeineMC/sodium-fabric/issues/773""","""Memory leak when loading chunks""","""too heated""",12,785,2133
tenacityteam/tenacity,Semisol,"""2021-07-06T22:50:22Z""","""https://github.com/tenacityteam/tenacity/issues/99""","""Stepdown as Maintainer of this Fork""","""too heated""",14,364,4561
Jint3x/git_experiments,Jint3x,"""2021-03-24T05:19:17Z""","""https://github.com/Jint3x/git_experiments/issues/5""","""Another one of my issues.""","""too heated""",4,39,
tensorflow/tensorflow,rthadur,"""2015-11-09T17:41:26Z""","""https://github.com/tensorflow/tensorflow/issues/22""","""OpenCL support""","""too heated""",542,9522,12510
sqlalchemy/sqlalchemy,zzzeek,"""2021-09-14T02:20:27Z""","""https://github.com/sqlalchemy/sqlalchemy/issues/7027""","""SQLite ORM `datetime` conversion interprets milliseconds as microseconds on reads""","""too heated""",11,1604,1568
jostroOS/AmogOS,mobilegmYT,"""2021-07-12T19:26:49Z""","""https://github.com/jostroOS/AmogOS/issues/29""","""For issues regarding open source:""","""too heated""",7,61,327
Roadhog360/Et-Futurum,Roadhog360,"""2021-04-27T22:27:47Z""","""https://github.com/Roadhog360/Et-Futurum/issues/34""","""Copper Blocks should only be registered to the OreDict when the Config makes their Recipe worth 9 Ingots.""","""too heated""",16,33,
jostroOS/amogOS,F-fengzi,"""2021-07-12T19:26:49Z""","""https://github.com/jostroOS/amogOS/issues/29""","""For issues regarding open source:""","""too heated""",4,49,1135
mrpond/BlockTheSpot,rednek46,"""2020-09-17T14:09:29Z""","""https://github.com/mrpond/BlockTheSpot/issues/71""","""recently played solved""","""too heated""",10,279,9001
nextcloud/calendar,jospoortvliet,"""2017-10-11T23:07:55Z""","""https://github.com/nextcloud/calendar/issues/629""","""Default reminders configuration [$113]""","""too heated""",29,726,124
nextcloud/calendar,jospoortvliet,"""2017-10-11T23:07:55Z""","""https://github.com/nextcloud/calendar/issues/629""","""Default reminders configuration [$113]""","""too heated""",29,726,124
bitcoin-core/bitcoincore.org,laanwj,"""2021-01-21T18:17:18Z""","""https://github.com/bitcoin-core/bitcoincore.org/issues/746""","""Disappointing decision from core devs.""","""too heated""",10,49,119
TheColin21/Formelsammlung-EB-Latex,TheColin21,"""2021-09-02T08:42:26Z""","""https://github.com/TheColin21/Formelsammlung-EB-Latex/issues/16""","""Zener Diode in Schaltung falsche Richtung""","""too heated""",8,37,
open-source-uc/latex-templates,FarDust,"""2021-07-10T21:30:32Z""","""https://github.com/open-source-uc/latex-templates/issues/1""","""Centralizar o no centralizar: esa es la cuestión""","""too heated""",7,2,3
relavis/VehiclesPlus,stijnb1234,"""2020-10-19T22:26:40Z""","""https://github.com/relavis/VehiclesPlus/issues/34""","""Custom Model Data Support""","""too heated""",14,13,
pyca/cryptography,alex,"""2021-02-08T08:58:33Z""","""https://github.com/pyca/cryptography/issues/5771""","""Dependency on rust removes support for a number of platforms""","""too heated""",179,480,855
mui-org/material-ui,eps1lon,"""2021-09-15T18:49:26Z""","""https://github.com/mui-org/material-ui/issues/28368""","""v5 Documentation site is broken""","""too heated""",22,4364,11936
