,repo,login,year,url,title,reason,comment_count,num_issues,num_stars,contributors_url
24,mozilla-mobile/fenix,data-sync-user,"""2020-06-03T01:37:18Z""","""https://github.com/mozilla-mobile/fenix/issues/11165""","""FNX3-14438 ⁃ [Bug] The \""beta\"" tag is missing in the homescreen icon in the latest beta version 77.0.0-beta.1""","""too heated""",6,18677.0,2013.0,https://api.github.com/repos/mozilla-mobile/fenix/contributors
25,strapi/strapi,derrickmehaffy,"""2019-08-29T10:44:42Z""","""https://github.com/strapi/strapi/issues/3862""","""Allow definition of null as default value""","""too heated""",8,3538.0,13202.0,https://api.github.com/repos/strapi/strapi/contributors
26,firebase/firebase-android-sdk,samtstern,"""2020-07-24T03:02:05Z""","""https://github.com/firebase/firebase-android-sdk/issues/1818""","""export firebase remote config constants""","""too heated""",10,951.0,467.0,https://api.github.com/repos/firebase/firebase-android-sdk/contributors
27,angular/angular,IgorMinar,"""2019-03-09T17:04:35Z""","""https://github.com/angular/angular/issues/29205""","""Make wording in the directives more inclusive""","""too heated""",6,5597.0,16610.0,https://api.github.com/repos/angular/angular/contributors
28,mozilla-mobile/fenix,data-sync-user,"""2020-06-03T01:37:18Z""","""https://github.com/mozilla-mobile/fenix/issues/11165""","""FNX-12043 ⁃ [Bug] The \""beta\"" tag is missing in the homescreen icon in the latest beta version 77.0.0-beta.1""","""too heated""",6,18677.0,2013.0,https://api.github.com/repos/mozilla-mobile/fenix/contributors
29,home-assistant/core,dmulcahey,"""2020-07-14T13:09:59Z""","""https://github.com/home-assistant/core/issues/37845""","""ZHA & ptvo.info bmp280""","""too heated""",9,11272.0,9458.0,https://api.github.com/repos/home-assistant/core/contributors
30,EssentialsX/Essentials,md678685,"""2020-09-28T12:05:01Z""","""https://github.com/EssentialsX/Essentials/issues/3690""","""worth/sell blocks does entire inventory instead of just blocks""","""too heated""",7,1387.0,444.0,https://api.github.com/repos/EssentialsX/Essentials/contributors
31,kubernetes/website,k8s-ci-robot,"""2020-12-06T10:43:39Z""","""https://github.com/kubernetes/website/issues/25416""","""Issue with k8s.io/ko/docs/tutorials/kubernetes-basics/create-cluster/cluster-intro/""","""too heated""",4,4531.0,701.0,https://api.github.com/repos/kubernetes/website/contributors
32,freeCodeCamp/freeCodeCamp,moT01,"""2019-10-22T03:35:35Z""","""https://github.com/freeCodeCamp/freeCodeCamp/issues/37457""","""Can't login for the last few days""","""too heated""",4,1812.0,17223.0,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/contributors
33,spyder-ide/spyder,ccordoba12,"""2020-11-13T16:27:49Z""","""https://github.com/spyder-ide/spyder/issues/14218""","""High typing latency in MacOS Big Sur""","""too heated""",36,5023.0,1003.0,https://api.github.com/repos/spyder-ide/spyder/contributors
34,mezz/JustEnoughItems,mezz,"""2020-09-23T03:12:15Z""","""https://github.com/mezz/JustEnoughItems/issues/2097""","""Removal of political propaganda?""","""too heated""",23,552.0,115.0,https://api.github.com/repos/mezz/JustEnoughItems/contributors
35,strapi/strapi,lauriejim,"""2019-12-24T13:40:02Z""","""https://github.com/strapi/strapi/issues/4819""","""Custom GraphQL mutation doesn't work""","""too heated""",12,3538.0,13202.0,https://api.github.com/repos/strapi/strapi/contributors
36,jonataslaw/getx,jonataslaw,"""2020-11-12T12:54:51Z""","""https://github.com/jonataslaw/getx/issues/789""","""[proposal] provide benchmarks for the claims in changelog 3.16.0 and against other state managements""","""too heated""",8,1068.0,1842.0,https://api.github.com/repos/jonataslaw/getx/contributors
37,google/shaka-player,joeyparrish,"""2020-10-17T03:23:20Z""","""https://github.com/google/shaka-player/issues/2917""","""widevine sucks""","""too heated""",6,1202.0,1114.0,https://api.github.com/repos/google/shaka-player/contributors
38,flybywiresim/a32nx,AdenFlorian,"""2020-10-05T11:51:22Z""","""https://github.com/flybywiresim/a32nx/issues/1110""","""Performance decrease of around 20% in FPS and more stutter in latest master[BUG]""","""too heated""",37,3269.0,1913.0,https://api.github.com/repos/flybywiresim/a32nx/contributors
39,FasterXML/jackson-databind,cowtowncoder,"""2016-07-14T03:12:47Z""","""https://github.com/FasterXML/jackson-databind/issues/1296""","""Add `@JsonIncludeProperties(propertyNames)` (reverse of `@JsonIgnoreProperties`)""","""too heated""",33,699.0,455.0,https://api.github.com/repos/FasterXML/jackson-databind/contributors
40,nodejs/node,jasnell,"""2020-06-13T17:41:50Z""","""https://github.com/nodejs/node/issues/33864""","""Rename default branch from \""master\"" to \""main\"" or something similar""","""too heated""",56,3654.0,11453.0,https://api.github.com/repos/nodejs/node/contributors
41,betaflight/betaflight,etracer65,"""2020-09-08T07:42:35Z""","""https://github.com/betaflight/betaflight/issues/10169""","""@pam4fh just use Betaflight Configurator 10.7.0 and enable FrskyOSD in PORTS tab""","""too heated""",6,1057.0,1014.0,https://api.github.com/repos/betaflight/betaflight/contributors
42,bitcoin-core/bitcoincore.org,laanwj,"""2021-01-21T18:17:18Z""","""https://github.com/bitcoin-core/bitcoincore.org/issues/746""","""Disappointing decision from core devs.""","""too heated""",10,32.0,56.0,https://api.github.com/repos/bitcoin-core/bitcoincore.org/contributors
43,git-for-windows/git,dscho,"""2020-06-08T10:10:47Z""","""https://github.com/git-for-windows/git/issues/2674""","""Change non-inclusive naming""","""too heated""",178,774.0,1033.0,https://api.github.com/repos/git-for-windows/git/contributors
44,dotnet/aspnetcore,mkArtakMSFT,"""2020-10-05T23:19:23Z""","""https://github.com/dotnet/aspnetcore/issues/26625""","""⏱️ Call to action: Help shape the future for ASP.NET Core""","""too heated""",89,13306.0,5931.0,https://api.github.com/repos/dotnet/aspnetcore/contributors
45,nodejs/node,jasnell,"""2020-06-13T17:41:50Z""","""https://github.com/nodejs/node/issues/33864""","""Rename default branch from \""master\"" to \""main\"" or something similar""","""too heated""",56,3654.0,11453.0,https://api.github.com/repos/nodejs/node/contributors
46,mozilla-mobile/fenix,kbrosnan,"""2020-06-07T09:00:23Z""","""https://github.com/mozilla-mobile/fenix/issues/11308""","""Allow sideloading addons on Nightly that use supported WebExtension APIs""","""too heated""",40,18677.0,2013.0,https://api.github.com/repos/mozilla-mobile/fenix/contributors
47,jhipster/generator-jhipster,mshima,"""2020-10-09T16:12:36Z""","""https://github.com/jhipster/generator-jhipster/issues/12702""","""Hexagonal architecture friendly.""","""too heated""",4,1596.0,2821.0,https://api.github.com/repos/jhipster/generator-jhipster/contributors
48,strapi/strapi,alexandrebodin,"""2020-08-03T17:51:30Z""","""https://github.com/strapi/strapi/issues/7304""","""error MissingSchemaError: Schema hasn't been registered for model""","""too heated""",8,3538.0,13202.0,https://api.github.com/repos/strapi/strapi/contributors
49,openssl/openssl,mattcaswell,"""2020-06-14T19:33:21Z""","""https://github.com/openssl/openssl/issues/12148""","""Remove unnecessary racially offensive terms from code""","""too heated""",5,2397.0,2871.0,https://api.github.com/repos/openssl/openssl/contributors
50,nodejs/node,jasnell,"""2020-06-13T17:41:50Z""","""https://github.com/nodejs/node/issues/33864""","""Rename default branch from \""master\"" to \""main\"" or something similar""","""too heated""",56,3654.0,11453.0,https://api.github.com/repos/nodejs/node/contributors
51,pi-hole/AdminLTE,PromoFaux,"""2020-08-03T08:52:56Z""","""https://github.com/pi-hole/AdminLTE/issues/1587""","""Disable for custom time in seconds and not in minutes""","""too heated""",26,311.0,454.0,https://api.github.com/repos/pi-hole/AdminLTE/contributors
52,yuzu-emu/yuzu,bunnei,"""2020-05-11T07:03:21Z""","""https://github.com/yuzu-emu/yuzu/issues/3918""","""Animal Crossing: New Horizons Text not displaying correctly bug""","""too heated""",40,2257.0,4804.0,https://api.github.com/repos/yuzu-emu/yuzu/contributors
53,EssentialsX/Essentials,JRoy,"""2020-09-28T12:05:01Z""","""https://github.com/EssentialsX/Essentials/issues/3690""","""worth/sell blocks does entire inventory instead of just blocks""","""too heated""",9,544.0,461.0,https://api.github.com/repos/EssentialsX/Essentials/contributors
54,matrix-org/synapse,clokep,"""2019-10-17T14:59:20Z""","""https://github.com/matrix-org/synapse/issues/6211""","""Synapse uses TLS1.0 for smtp which is rejected by some mail servers""","""too heated""",26,1752.0,1927.0,https://api.github.com/repos/matrix-org/synapse/contributors
55,iNavFlight/inav,digitalentity,"""2021-03-03T19:55:59Z""","""https://github.com/iNavFlight/inav/issues/6663""","""matek F722 mini se,crazy baro in al inav version,too in 2.6.1 for micro quad nav modes""","""too heated""",28,770.0,422.0,https://api.github.com/repos/iNavFlight/inav/contributors
56,Wechat-Group/WxJava,binarywang,"""2021-04-06T07:54:23Z""","""https://github.com/Wechat-Group/WxJava/issues/2069""","""微信小程序更新wx.getUserProfile，无法获取到小程序用户信息""","""too heated""",12,627.0,2743.0,https://api.github.com/repos/Wechat-Group/WxJava/contributors
57,tenacityteam/tenacity,Semisol,"""2021-07-06T22:50:22Z""","""https://github.com/tenacityteam/tenacity/issues/99""","""Stepdown as Maintainer of this Fork""","""too heated""",14,364.0,4561.0,https://api.github.com/repos/tenacityteam/tenacity/contributors
