,repo,login,year,url,title,reason,comment_count,num_issues,num_stars,contributors_url
107,SevenTV/chatterino7,TroyKomodo,"""2021-07-26T14:18:27Z""","""https://github.com/SevenTV/chatterino7/issues/34""","""Will you please allow \""notify when online\"" notifications without login, or provide a 2.1.0 installer""","""too heated""",4,71.0,135.0,https://api.github.com/repos/SevenTV/chatterino7/contributors
108,WordPress/gutenberg,talldan,"""2021-08-26T09:56:38Z""","""https://github.com/WordPress/gutenberg/issues/34325""","""Consider moving wp-env project to own repository""","""too heated""",30,6143.0,1140.0,https://api.github.com/repos/WordPress/gutenberg/contributors
109,flutter/flutter,Hixie,"""2021-01-27T19:48:17Z""","""https://github.com/flutter/flutter/issues/74833""","""My app is slow or missing frames (metabug)""","""too heated""",4,25524.0,18727.0,https://api.github.com/repos/flutter/flutter/contributors
110,freeCodeCamp/freeCodeCamp,raisedadead,"""2022-10-07T09:47:10Z""","""https://github.com/freeCodeCamp/freeCodeCamp/issues/47891""","""Update front end demo project URL's""","""too heated""",8,1690.0,25499.0,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/contributors
111,freeCodeCamp/freeCodeCamp,ojeytonwilliams,"""2022-10-12T18:34:57Z""","""https://github.com/freeCodeCamp/freeCodeCamp/issues/48011""","""Line goes against our challenge document in building a registration form project""","""too heated""",7,1690.0,25499.0,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/contributors
112,doitsujin/dxvk,doitsujin,"""2021-12-23T20:20:27Z""","""https://github.com/doitsujin/dxvk/issues/2413""","""Unable to release video memory""","""too heated""",22,856.0,2252.0,https://api.github.com/repos/doitsujin/dxvk/contributors
113,AvaloniaUI/Avalonia,maxkatz6,"""2019-10-07T17:51:00Z""","""https://github.com/AvaloniaUI/Avalonia/issues/3079""","""PointerPressed captures pointers 1 pixel outside of the control""","""too heated""",4,1573.0,4028.0,https://api.github.com/repos/AvaloniaUI/Avalonia/contributors
114,Warzone2100/warzone2100,KJeff01,"""2022-10-21T23:10:25Z""","""https://github.com/Warzone2100/warzone2100/issues/2916""","""Balance proposal became a circuis""","""too heated""",8,291.0,435.0,https://api.github.com/repos/Warzone2100/warzone2100/contributors
115,saltstack/salt,Ch3LL,"""2019-09-17T08:58:08Z""","""https://github.com/saltstack/salt/issues/54508""","""mount.mounted does not handle blanks properly""","""too heated""",14,1586.0,974.0,https://api.github.com/repos/saltstack/salt/contributors
116,saltstack/salt,Ch3LL,"""2019-09-17T08:58:08Z""","""https://github.com/saltstack/salt/issues/54508""","""mount.mounted does not handle blanks properly""","""too heated""",14,1586.0,974.0,https://api.github.com/repos/saltstack/salt/contributors
117,libsdl-org/SDL,sezero,"""2022-05-30T13:37:36Z""","""https://github.com/libsdl-org/SDL/issues/5734""","""URL is miss leading""","""too heated""",5,1869.0,2370.0,https://api.github.com/repos/libsdl-org/SDL/contributors
118,anuraghazra/github-readme-stats,rickstaa,"""2022-10-04T12:42:18Z""","""https://github.com/anuraghazra/github-readme-stats/issues/2114""","""Maximum retries exceeded""","""too heated""",14,485.0,14732.0,https://api.github.com/repos/anuraghazra/github-readme-stats/contributors
119,space-wizards/space-station-14,moonheart08,"""2022-08-20T03:04:37Z""","""https://github.com/space-wizards/space-station-14/issues/10717""","""The eye damage filter makes me want to die""","""too heated""",9,3364.0,464.0,https://api.github.com/repos/space-wizards/space-station-14/contributors
120,johnsoncodehk/volar,johnsoncodehk,"""2022-07-29T02:02:36Z""","""https://github.com/johnsoncodehk/volar/issues/1648""","""The code hint is really slow in the.vue a slightly larger file, please fix！""","""too heated""",4,2327.0,1951.0,https://api.github.com/repos/johnsoncodehk/volar/contributors
121,osmandapp/OsmAnd,vshcherb,"""2022-08-11T20:21:14Z""","""https://github.com/osmandapp/OsmAnd/issues/15058""","""No setting to disable: download sends unique user tracking UUID & number of days since install""","""too heated""",39,2704.0,547.0,https://api.github.com/repos/osmandapp/OsmAnd/contributors
122,anuraghazra/github-readme-stats,rickstaa,"""2022-05-19T10:33:47Z""","""https://github.com/anuraghazra/github-readme-stats/issues/1774""","""New tiny error url does not fit on card""","""too heated""",4,485.0,14732.0,https://api.github.com/repos/anuraghazra/github-readme-stats/contributors
123,anuraghazra/github-readme-stats,rickstaa,"""2022-05-18T10:53:07Z""","""https://github.com/anuraghazra/github-readme-stats/issues/1763""","""[Sever Problem] Maximum retries exceeded""","""too heated""",8,485.0,14732.0,https://api.github.com/repos/anuraghazra/github-readme-stats/contributors
124,umijs/umi,sorrycc,"""2021-06-23T07:53:48Z""","""https://github.com/umijs/umi/issues/6766""","""MFSU Why、What、How and FAQ""","""too heated""",39,2384.0,1942.0,https://api.github.com/repos/umijs/umi/contributors
125,expressjs/express,dougwilson,"""2021-02-23T12:31:48Z""","""https://github.com/expressjs/express/issues/4535""","""Node.js 15+ starts recommending promise based versions by default - Express 5.0 and wrapAsync""","""too heated""",15,314.0,4842.0,https://api.github.com/repos/expressjs/express/contributors
126,MinecraftForge/MinecraftForge,LexManos,"""2022-01-30T03:09:04Z""","""https://github.com/MinecraftForge/MinecraftForge/issues/8438""","""Forge mod causing LuckPerm commands to not register in client""","""too heated""",8,630.0,916.0,https://api.github.com/repos/MinecraftForge/MinecraftForge/contributors
127,golang/go,rsc,"""2022-02-21T09:08:41Z""","""https://github.com/golang/go/issues/51295""","""proposal: encoding/base64: add Encoding.EncodeString to match DecodeString""","""too heated""",36,11763.0,15591.0,https://api.github.com/repos/golang/go/contributors
128,golang/go,ALTree,"""2022-02-20T09:58:45Z""","""https://github.com/golang/go/issues/51277""","""This is not true and the involved team member has lied, ruining my credibility and directly opposed himself by focusing on a tls.Conn object when he should know it requires type-assertion to a net.TCPConn object""","""too heated""",11,11763.0,15591.0,https://api.github.com/repos/golang/go/contributors
129,libretro/RetroArch,LibretroAdmin,"""2020-05-29T08:16:02Z""","""https://github.com/libretro/RetroArch/issues/10731""","""Are u crazy? How did u make so unusable bloatwared software? Its possible to be simple, wtf do u do?""","""too heated""",5,1227.0,1419.0,https://api.github.com/repos/libretro/RetroArch/contributors
130,hashicorp/terraform,jbardin,"""2021-05-25T10:52:11Z""","""https://github.com/hashicorp/terraform/issues/28803""","""A way to hide certain expected changes from the \""refresh\"" report (\""Objects have changed outside of Terraform\"")""","""too heated""",91,2371.0,5324.0,https://api.github.com/repos/hashicorp/terraform/contributors
131,angular/angular,JoostK,"""2020-07-08T01:25:12Z""","""https://github.com/angular/angular/issues/37963""","""Rename the \""master\"" branch to avoid problematic terminology""","""too heated""",7,3077.0,9484.0,https://api.github.com/repos/angular/angular/contributors
132,Rapptz/discord.py,Rapptz,"""2020-12-10T20:01:44Z""","""https://github.com/Rapptz/discord.py/issues/6149""","""Support slash commands""","""too heated""",12,1057.0,3277.0,https://api.github.com/repos/Rapptz/discord.py/contributors
133,tailscale/tailscale,mayakacz,"""2021-12-11T00:08:19Z""","""https://github.com/tailscale/tailscale/issues/3550""","""Security vulnerability in log4j 2 (CVE-2021-44228)""","""too heated""",5,2625.0,3898.0,https://api.github.com/repos/tailscale/tailscale/contributors
134,netbox-community/netbox,kkthxbye-code,"""2022-09-11T23:44:26Z""","""https://github.com/netbox-community/netbox/issues/10324""","""Ability to add custom fields to device templates and module templates""","""too heated""",9,2775.0,2380.0,https://api.github.com/repos/netbox-community/netbox/contributors
135,Monika-After-Story/MonikaModDev,Booplicate,"""2022-10-30T12:30:18Z""","""https://github.com/Monika-After-Story/MonikaModDev/issues/9699""","""I really think we should ask the player for permission to delete other chr files.""","""too heated""",19,1202.0,166.0,https://api.github.com/repos/Monika-After-Story/MonikaModDev/contributors
136,OpenRA/OpenRA,Mailaender,"""2020-06-05T07:07:35Z""","""https://github.com/OpenRA/OpenRA/issues/18235""","""Replace the refinery with the \""ERCC\"" refinery in the standard game""","""too heated""",16,543.0,2110.0,https://api.github.com/repos/OpenRA/OpenRA/contributors
137,GTNewHorizons/GT-New-Horizons-Modpack,Dream-Master,"""2022-02-12T20:20:30Z""","""https://github.com/GTNewHorizons/GT-New-Horizons-Modpack/issues/9732""","""Allow OP users to bypass ME security""","""too heated""",12,4868.0,178.0,https://api.github.com/repos/GTNewHorizons/GT-New-Horizons-Modpack/contributors
138,vercel/next.js,padmaia,"""2022-03-28T12:01:59Z""","""https://github.com/vercel/next.js/issues/35657""","""[v12.1.1] Multi-line comment at the start of return of the render function breaks app (Minified React error #152)""","""too heated""",7,5183.0,21818.0,https://api.github.com/repos/vercel/next.js/contributors
139,sveltejs/kit,Rich-Harris,"""2022-04-12T14:06:12Z""","""https://github.com/sveltejs/kit/issues/4594""","""Color adjustment asap please - Docs""","""too heated""",9,3866.0,6225.0,https://api.github.com/repos/sveltejs/kit/contributors
140,encode/uvicorn,Kludex,"""2022-05-25T12:36:51Z""","""https://github.com/encode/uvicorn/issues/1501""","""Gracefully handle HTTP/2 upgrade request""","""too heated""",7,173.0,1307.0,https://api.github.com/repos/encode/uvicorn/contributors
141,vector-im/element-web,t3chguy,"""2019-04-23T17:24:34Z""","""https://github.com/vector-im/element-web/issues/9547""","""Rename 'kick' as 'remove from chat'""","""too heated""",7,6436.0,1780.0,https://api.github.com/repos/vector-im/element-web/contributors
142,qbittorrent/qBittorrent,Chocobo1,"""2015-07-07T22:32:11Z""","""https://github.com/qbittorrent/qBittorrent/issues/3369""","""File extension filter""","""too heated""",33,2812.0,4921.0,https://api.github.com/repos/qbittorrent/qBittorrent/contributors
143,python/mypy,ilevkivskyi,"""2015-07-30T14:30:22Z""","""https://github.com/python/mypy/issues/731""","""Support recursive types""","""too heated""",79,2502.0,2429.0,https://api.github.com/repos/python/mypy/contributors
144,microsoft/vscode-python,karrtikr,"""2019-12-24T11:54:51Z""","""https://github.com/microsoft/vscode-python/issues/9284""","""Editor context menu actions feedback""","""too heated""",5,2687.0,435.0,https://api.github.com/repos/microsoft/vscode-python/contributors
145,JuliaPlots/Plots.jl,t-bltg,"""2022-12-15T11:46:58Z""","""https://github.com/JuliaPlots/Plots.jl/issues/4597""","""[BUG] RecipesBase and RecipesPipeline fail to precompile""","""too heated""",15,548.0,261.0,https://api.github.com/repos/JuliaPlots/Plots.jl/contributors
146,expo/expo,byCedric,"""2022-08-07T20:44:42Z""","""https://github.com/expo/expo/issues/18554""","""MapView from React-Native-Maps appears as a grey block on Android""","""too heated""",24,4320.0,3132.0,https://api.github.com/repos/expo/expo/contributors
147,expo/expo,byCedric,"""2022-08-07T20:44:42Z""","""https://github.com/expo/expo/issues/18554""","""MapView from React-Native-Maps appears as a grey block on Android""","""too heated""",24,4320.0,3132.0,https://api.github.com/repos/expo/expo/contributors
148,expo/expo,byCedric,"""2022-08-07T20:44:42Z""","""https://github.com/expo/expo/issues/18554""","""MapView from React-Native-Maps appears as a grey block on Android""","""too heated""",25,4320.0,3132.0,https://api.github.com/repos/expo/expo/contributors
149,PowerDNS-Admin/PowerDNS-Admin,jbe-dw,"""2021-10-26T21:28:04Z""","""https://github.com/PowerDNS-Admin/PowerDNS-Admin/issues/1032""","""Updates & Looking for maintainers""","""too heated""",4,380.0,380.0,https://api.github.com/repos/PowerDNS-Admin/PowerDNS-Admin/contributors
150,exercism/python,BethanyG,"""2022-07-05T16:54:37Z""","""https://github.com/exercism/python/issues/3132""","""[Ghost Gobble Arcade Game]: Stub Notes are Confusing""","""too heated""",23,302.0,249.0,https://api.github.com/repos/exercism/python/contributors
151,laravel/framework,driesvints,"""2022-11-23T10:36:33Z""","""https://github.com/laravel/framework/issues/45058""","""Laravel 9. Migration Silently Fails with SQLite when Dropping and Adding a Column in the Same Modification ""","""too heated""",4,2134.0,3286.0,https://api.github.com/repos/laravel/framework/contributors
152,WedgeServer/wedge,lol768,"""2017-09-13T14:44:31Z""","""https://github.com/WedgeServer/wedge/issues/2""","""Trademark violation""","""too heated""",28,2.0,,https://api.github.com/repos/WedgeServer/wedge/contributors
153,WedgeServer/wedge,lol768,"""2017-09-13T14:44:31Z""","""https://github.com/WedgeServer/wedge/issues/2""","""Trademark violation""","""too heated""",27,2.0,,https://api.github.com/repos/WedgeServer/wedge/contributors
154,rustdesk/rustdesk,rustdesk,"""2021-07-23T09:56:00Z""","""https://github.com/rustdesk/rustdesk/issues/175""","""Add Linux ARM support""","""too heated""",39,1446.0,20897.0,https://api.github.com/repos/rustdesk/rustdesk/contributors
155,rustdesk/rustdesk,rustdesk,"""2021-07-23T09:56:00Z""","""https://github.com/rustdesk/rustdesk/issues/175""","""Add Linux ARM support""","""too heated""",38,1446.0,20897.0,https://api.github.com/repos/rustdesk/rustdesk/contributors
156,nextcloud/server,nickvergessen,"""2017-02-23T10:45:06Z""","""https://github.com/nextcloud/server/issues/3596""","""Email notifications for pending upgrades""","""too heated""",31,3004.0,3652.0,https://api.github.com/repos/nextcloud/server/contributors
157,nextcloud/server,nickvergessen,"""2020-09-25T12:45:59Z""","""https://github.com/nextcloud/server/issues/23046""","""[Files sharing] Log message: \""/appinfo/app.php is deprecated\""""","""too heated""",35,3004.0,3652.0,https://api.github.com/repos/nextcloud/server/contributors
158,microsoft/vscode,joaomoreno,"""2022-10-17T00:44:22Z""","""https://github.com/microsoft/vscode/issues/163798""","""vscode Have you started charging? ""","""too heated""",183,43362.0,18163.0,https://api.github.com/repos/microsoft/vscode/contributors
159,microsoft/vscode,isidorn,"""2018-02-03T16:12:05Z""","""https://github.com/microsoft/vscode/issues/42890""","""Marketplace: searching by an extension's name is practically broken""","""too heated""",46,43362.0,18163.0,https://api.github.com/repos/microsoft/vscode/contributors
160,ansible/ansible,ansibot,"""2017-12-28T22:12:37Z""","""https://github.com/ansible/ansible/issues/34281""","""Conditionally import_playbook aka include_playbook""","""too heated""",44,2277.0,5474.0,https://api.github.com/repos/ansible/ansible/contributors
161,ansible/ansible,jborean93,"""2022-03-04T06:25:47Z""","""https://github.com/ansible/ansible/issues/77204""","""Documentation: you changed URLs but are not using redirects, generating 404s - why?""","""too heated""",4,2277.0,5474.0,https://api.github.com/repos/ansible/ansible/contributors
162,ansible/ansible,nitzmahone,"""2017-06-28T16:50:58Z""","""https://github.com/ansible/ansible/issues/26190""","""Allow decrypting of files with vaulted variables""","""too heated""",37,2277.0,5474.0,https://api.github.com/repos/ansible/ansible/contributors
163,flatpak/xdg-desktop-portal,GeorgesStavracas,"""2021-10-16T02:58:26Z""","""https://github.com/flatpak/xdg-desktop-portal/issues/649""","""Screenshot portal without prompt""","""too heated""",26,162.0,157.0,https://api.github.com/repos/flatpak/xdg-desktop-portal/contributors
164,flatpak/xdg-desktop-portal,GeorgesStavracas,"""2021-10-16T02:58:26Z""","""https://github.com/flatpak/xdg-desktop-portal/issues/649""","""Screenshot portal without prompt""","""too heated""",26,162.0,157.0,https://api.github.com/repos/flatpak/xdg-desktop-portal/contributors
165,opnsense/core,fichtner,"""2022-01-03T05:31:54Z""","""https://github.com/opnsense/core/issues/5453""","""radvd does not start up with 22.1""","""too heated""",23,1081.0,415.0,https://api.github.com/repos/opnsense/core/contributors
166,nodejs/node,aduh95,"""2020-06-13T17:41:50Z""","""https://github.com/nodejs/node/issues/33864""","""Rename default branch from \""master\"" to \""main\""""","""too heated""",121,2612.0,10103.0,https://api.github.com/repos/nodejs/node/contributors
167,nodejs/node,Trott,"""2021-05-06T18:48:22Z""","""https://github.com/nodejs/node/issues/38573""","""Rename Node-API to something less confusing/misleading""","""too heated""",4,2612.0,10103.0,https://api.github.com/repos/nodejs/node/contributors
168,Cog-Creators/Red-DiscordBot,jack1142,"""2022-08-12T01:57:57Z""","""https://github.com/Cog-Creators/Red-DiscordBot/issues/5819""","""Audio Track Playback Issue""","""too heated""",11,193.0,952.0,https://api.github.com/repos/Cog-Creators/Red-DiscordBot/contributors
169,PCSX2/pcsx2,refractionpcsx2,"""2021-06-08T01:13:24Z""","""https://github.com/PCSX2/pcsx2/issues/4485""","""[BUG] God of War 1 - FMV bug after 1.4.0""","""too heated""",26,1702.0,1939.0,https://api.github.com/repos/PCSX2/pcsx2/contributors
170,PCSX2/pcsx2,lightningterror,"""2022-10-12T15:22:16Z""","""https://github.com/PCSX2/pcsx2/issues/7180""","""[BUG]: Integer upscaling disables bilinear filtering, but bilinear filtering can still be used.""","""too heated""",9,1702.0,1939.0,https://api.github.com/repos/PCSX2/pcsx2/contributors
171,kubernetes/website,sftim,"""2022-05-20T08:14:16Z""","""https://github.com/kubernetes/website/issues/33848""","""Link to CNCF contributor guide""","""too heated""",44,3304.0,1321.0,https://api.github.com/repos/kubernetes/website/contributors
172,kubernetes/website,natalisucks,"""2022-05-20T08:14:16Z""","""https://github.com/kubernetes/website/issues/33848""","""Link to CNCF contributor guide""","""too heated""",44,3304.0,1321.0,https://api.github.com/repos/kubernetes/website/contributors
173,HandBrake/HandBrake,sr55,"""2018-08-08T16:19:15Z""","""https://github.com/HandBrake/HandBrake/issues/1527""","""HE-AAC support for Linux and Windows""","""too heated""",21,974.0,2603.0,https://api.github.com/repos/HandBrake/HandBrake/contributors
174,hashicorp/nomad,shoenig,"""2019-09-26T12:58:51Z""","""https://github.com/hashicorp/nomad/issues/6385""","""iptables entries are not reconciled""","""too heated""",18,1650.0,2696.0,https://api.github.com/repos/hashicorp/nomad/contributors
175,citizenfx/fivem,blattersturm,"""2022-03-30T16:07:46Z""","""https://github.com/citizenfx/fivem/issues/1356""","""! Exploit crashing players on every server""","""too heated""",16,568.0,549.0,https://api.github.com/repos/citizenfx/fivem/contributors
176,zammad/zammad,zammad-sync,"""2022-12-16T11:53:58Z""","""https://github.com/zammad/zammad/issues/4431""","""Missing rake task to fix json values migrated from maria/mysql to postgres""","""too heated""",12,913.0,458.0,https://api.github.com/repos/zammad/zammad/contributors
177,EbookFoundation/free-programming-books,davorpa,"""2021-11-03T10:28:56Z""","""https://github.com/EbookFoundation/free-programming-books/issues/6590""","""docs: Homogenize governance (CoC, CONTRIBUTING & HOWTO) across files""","""too heated""",9,432.0,44771.0,https://api.github.com/repos/EbookFoundation/free-programming-books/contributors
178,EbookFoundation/free-programming-books,davorpa,"""2020-11-20T23:16:43Z""","""https://github.com/EbookFoundation/free-programming-books/issues/5176""","""Screen cast mark up look strange on the site""","""too heated""",9,432.0,44771.0,https://api.github.com/repos/EbookFoundation/free-programming-books/contributors
179,EbookFoundation/free-programming-books,eshellman,"""2020-11-20T23:16:43Z""","""https://github.com/EbookFoundation/free-programming-books/issues/5176""","""Mark up look strange on the site when using pipes `|`""","""too heated""",9,432.0,44771.0,https://api.github.com/repos/EbookFoundation/free-programming-books/contributors
180,strapi/strapi,derrickmehaffy,"""2019-06-07T10:17:02Z""","""https://github.com/strapi/strapi/issues/3399""","""Administrator model customization""","""too heated""",25,2952.0,9678.0,https://api.github.com/repos/strapi/strapi/contributors
181,strapi/strapi,derrickmehaffy,"""2018-12-23T05:03:40Z""","""https://github.com/strapi/strapi/issues/2527""","""Support for GeoJSON Content Type ""","""too heated""",21,2952.0,9678.0,https://api.github.com/repos/strapi/strapi/contributors
182,strapi/strapi,derrickmehaffy,"""2020-01-02T11:29:06Z""","""https://github.com/strapi/strapi/issues/4878""","""I can't access custom field from from users/me via GraphQL""","""too heated""",24,2952.0,9678.0,https://api.github.com/repos/strapi/strapi/contributors
183,strapi/strapi,derrickmehaffy,"""2019-02-07T11:05:41Z""","""https://github.com/strapi/strapi/issues/2784""","""Add auto increment option to the model attributes""","""too heated""",10,2952.0,9678.0,https://api.github.com/repos/strapi/strapi/contributors
184,strapi/strapi,derrickmehaffy,"""2019-11-18T11:31:42Z""","""https://github.com/strapi/strapi/issues/4547""","""Enable findOne by unique fields GraphQL""","""too heated""",11,2952.0,9678.0,https://api.github.com/repos/strapi/strapi/contributors
185,termux/termux-packages,xtkoba,"""2021-07-26T17:22:34Z""","""https://github.com/termux/termux-packages/issues/10226""","""Mesa: glxgears crashes on 32bit ARM devices""","""too heated""",74,3838.0,2879.0,https://api.github.com/repos/termux/termux-packages/contributors
