,repo,login,year,url,title,reason,comment_count,num_issues,num_stars,contributors_url,api_url,issue_id
30,OpenRA/OpenRA,Mailaender,"""2020-06-05T07:07:35Z""","""https://github.com/OpenRA/OpenRA/issues/18235""","""Replace the refinery with the \""ERCC\"" refinery in the standard game""","""too heated""",16,543,2110,https://api.github.com/repos/OpenRA/OpenRA/contributors,https://api.github.com/repos/OpenRA/OpenRA/issues/18235,631364219
31,GTNewHorizons/GT-New-Horizons-Modpack,Dream-Master,"""2022-02-12T20:20:30Z""","""https://github.com/GTNewHorizons/GT-New-Horizons-Modpack/issues/9732""","""Allow OP users to bypass ME security""","""too heated""",12,4868,178,https://api.github.com/repos/GTNewHorizons/GT-New-Horizons-Modpack/contributors,https://api.github.com/repos/GTNewHorizons/GT-New-Horizons-Modpack/issues/9732,1134552993
32,vercel/next.js,padmaia,"""2022-03-28T12:01:59Z""","""https://github.com/vercel/next.js/issues/35657""","""[v12.1.1] Multi-line comment at the start of return of the render function breaks app (Minified React error #152)""","""too heated""",7,5183,21818,https://api.github.com/repos/vercel/next.js/contributors,https://api.github.com/repos/vercel/next.js/issues/35657,1183333507
33,sveltejs/kit,Rich-Harris,"""2022-04-12T14:06:12Z""","""https://github.com/sveltejs/kit/issues/4594""","""Color adjustment asap please - Docs""","""too heated""",9,3866,6225,https://api.github.com/repos/sveltejs/kit/contributors,https://api.github.com/repos/sveltejs/kit/issues/4594,1201906086
34,encode/uvicorn,Kludex,"""2022-05-25T12:36:51Z""","""https://github.com/encode/uvicorn/issues/1501""","""Gracefully handle HTTP/2 upgrade request""","""too heated""",7,173,1307,https://api.github.com/repos/encode/uvicorn/contributors,https://api.github.com/repos/encode/uvicorn/issues/1501,1248033266
35,vector-im/element-web,t3chguy,"""2019-04-23T17:24:34Z""","""https://github.com/vector-im/element-web/issues/9547""","""Rename 'kick' as 'remove from chat'""","""too heated""",7,6436,1780,https://api.github.com/repos/vector-im/element-web/contributors,https://api.github.com/repos/vector-im/element-web/issues/9547,436303024
36,nestjs/nest-cli,kamilmysliwiec,"""2022-06-23T14:00:19Z""","""https://github.com/nestjs/nest-cli/issues/1693""","""generation with nest-cli Error: Unknown argument skipImport. Did you mean skip-import?""","""too heated""",21,140,382,https://api.github.com/repos/nestjs/nest-cli/contributors,https://api.github.com/repos/nestjs/nest-cli/issues/1693,1282455505
37,qbittorrent/qBittorrent,Chocobo1,"""2015-07-07T22:32:11Z""","""https://github.com/qbittorrent/qBittorrent/issues/3369""","""File extension filter""","""too heated""",33,2812,4921,https://api.github.com/repos/qbittorrent/qBittorrent/contributors,https://api.github.com/repos/qbittorrent/qBittorrent/issues/3369,93644527
38,python/mypy,ilevkivskyi,"""2015-07-30T14:30:22Z""","""https://github.com/python/mypy/issues/731""","""Support recursive types""","""too heated""",79,2502,2429,https://api.github.com/repos/python/mypy/contributors,https://api.github.com/repos/python/mypy/issues/731,98183747
39,microsoft/vscode-python,karrtikr,"""2019-12-24T11:54:51Z""","""https://github.com/microsoft/vscode-python/issues/9284""","""Editor context menu actions feedback""","""too heated""",5,2687,435,https://api.github.com/repos/microsoft/vscode-python/contributors,https://api.github.com/repos/microsoft/vscode-python/issues/9284,542105846
40,JuliaPlots/Plots.jl,t-bltg,"""2022-12-15T11:46:58Z""","""https://github.com/JuliaPlots/Plots.jl/issues/4597""","""[BUG] RecipesBase and RecipesPipeline fail to precompile""","""too heated""",15,548,261,https://api.github.com/repos/JuliaPlots/Plots.jl/contributors,https://api.github.com/repos/JuliaPlots/Plots.jl/issues/4597,1498285225
41,expo/expo,byCedric,"""2022-08-07T20:44:42Z""","""https://github.com/expo/expo/issues/18554""","""MapView from React-Native-Maps appears as a grey block on Android""","""too heated""",24,4320,3132,https://api.github.com/repos/expo/expo/contributors,https://api.github.com/repos/expo/expo/issues/18554,1331118596
42,expo/expo,byCedric,"""2022-08-07T20:44:42Z""","""https://github.com/expo/expo/issues/18554""","""MapView from React-Native-Maps appears as a grey block on Android""","""too heated""",24,4320,3132,https://api.github.com/repos/expo/expo/contributors,https://api.github.com/repos/expo/expo/issues/18554,1331118596
43,expo/expo,byCedric,"""2022-08-07T20:44:42Z""","""https://github.com/expo/expo/issues/18554""","""MapView from React-Native-Maps appears as a grey block on Android""","""too heated""",25,4320,3132,https://api.github.com/repos/expo/expo/contributors,https://api.github.com/repos/expo/expo/issues/18554,1331118596
44,PowerDNS-Admin/PowerDNS-Admin,jbe-dw,"""2021-10-26T21:28:04Z""","""https://github.com/PowerDNS-Admin/PowerDNS-Admin/issues/1032""","""Updates & Looking for maintainers""","""too heated""",4,380,380,https://api.github.com/repos/PowerDNS-Admin/PowerDNS-Admin/contributors,https://api.github.com/repos/PowerDNS-Admin/PowerDNS-Admin/issues/1032,1036757791
45,exercism/python,BethanyG,"""2022-07-05T16:54:37Z""","""https://github.com/exercism/python/issues/3132""","""[Ghost Gobble Arcade Game]: Stub Notes are Confusing""","""too heated""",23,302,249,https://api.github.com/repos/exercism/python/contributors,https://api.github.com/repos/exercism/python/issues/3132,1294541749
46,laravel/framework,driesvints,"""2022-11-23T10:36:33Z""","""https://github.com/laravel/framework/issues/45058""","""Laravel 9. Migration Silently Fails with SQLite when Dropping and Adding a Column in the Same Modification ""","""too heated""",4,2134,3286,https://api.github.com/repos/laravel/framework/contributors,https://api.github.com/repos/laravel/framework/issues/45058,1461489700
47,WedgeServer/wedge,lol768,"""2017-09-13T14:44:31Z""","""https://github.com/WedgeServer/wedge/issues/2""","""Trademark violation""","""too heated""",28,2,,https://api.github.com/repos/WedgeServer/wedge/contributors,https://api.github.com/repos/WedgeServer/wedge/issues/2,257408022
48,WedgeServer/wedge,lol768,"""2017-09-13T14:44:31Z""","""https://github.com/WedgeServer/wedge/issues/2""","""Trademark violation""","""too heated""",27,2,,https://api.github.com/repos/WedgeServer/wedge/contributors,https://api.github.com/repos/WedgeServer/wedge/issues/2,257408022
49,rustdesk/rustdesk,rustdesk,"""2021-07-23T09:56:00Z""","""https://github.com/rustdesk/rustdesk/issues/175""","""Add Linux ARM support""","""too heated""",39,1446,20897,https://api.github.com/repos/rustdesk/rustdesk/contributors,https://api.github.com/repos/rustdesk/rustdesk/issues/175,951429255
50,rustdesk/rustdesk,rustdesk,"""2021-07-23T09:56:00Z""","""https://github.com/rustdesk/rustdesk/issues/175""","""Add Linux ARM support""","""too heated""",38,1446,20897,https://api.github.com/repos/rustdesk/rustdesk/contributors,https://api.github.com/repos/rustdesk/rustdesk/issues/175,951429255
51,nextcloud/server,nickvergessen,"""2017-02-23T10:45:06Z""","""https://github.com/nextcloud/server/issues/3596""","""Email notifications for pending upgrades""","""too heated""",31,3004,3652,https://api.github.com/repos/nextcloud/server/contributors,https://api.github.com/repos/nextcloud/server/issues/3596,209725628
52,nextcloud/server,nickvergessen,"""2020-09-25T12:45:59Z""","""https://github.com/nextcloud/server/issues/23046""","""[Files sharing] Log message: \""/appinfo/app.php is deprecated\""""","""too heated""",35,3004,3652,https://api.github.com/repos/nextcloud/server/contributors,https://api.github.com/repos/nextcloud/server/issues/23046,708907357
53,microsoft/vscode,joaomoreno,"""2022-10-17T00:44:22Z""","""https://github.com/microsoft/vscode/issues/163798""","""vscode Have you started charging? ""","""too heated""",183,43362,18163,https://api.github.com/repos/microsoft/vscode/contributors,https://api.github.com/repos/microsoft/vscode/issues/163798,1410698334
54,microsoft/vscode,isidorn,"""2018-02-03T16:12:05Z""","""https://github.com/microsoft/vscode/issues/42890""","""Marketplace: searching by an extension's name is practically broken""","""too heated""",46,43362,18163,https://api.github.com/repos/microsoft/vscode/contributors,https://api.github.com/repos/microsoft/vscode/issues/42890,294122809
55,ansible/ansible,ansibot,"""2017-12-28T22:12:37Z""","""https://github.com/ansible/ansible/issues/34281""","""Conditionally import_playbook aka include_playbook""","""too heated""",44,2277,5474,https://api.github.com/repos/ansible/ansible/contributors,https://api.github.com/repos/ansible/ansible/issues/34281,284999235
56,ansible/ansible,jborean93,"""2022-03-04T06:25:47Z""","""https://github.com/ansible/ansible/issues/77204""","""Documentation: you changed URLs but are not using redirects, generating 404s - why?""","""too heated""",4,2277,5474,https://api.github.com/repos/ansible/ansible/contributors,https://api.github.com/repos/ansible/ansible/issues/77204,1159293958
57,ansible/ansible,nitzmahone,"""2017-06-28T16:50:58Z""","""https://github.com/ansible/ansible/issues/26190""","""Allow decrypting of files with vaulted variables""","""too heated""",37,2277,5474,https://api.github.com/repos/ansible/ansible/contributors,https://api.github.com/repos/ansible/ansible/issues/26190,239227953
